"PopName" "Year" "Sex" "AgeGroup" "Deaths" "Ex"
"100" "BadenWuerttemberg" 2021 "f" 30 109 363412
"101" "BadenWuerttemberg" 2021 "f" 35 145 348770.5
"102" "BadenWuerttemberg" 2021 "f" 40 235 337683.5
"103" "BadenWuerttemberg" 2021 "f" 45 376 338203
"104" "BadenWuerttemberg" 2021 "f" 50 815 420492.5
"105" "BadenWuerttemberg" 2021 "f" 55 1424 441953.5
"106" "BadenWuerttemberg" 2021 "f" 60 1943 385468.5
"107" "BadenWuerttemberg" 2021 "f" 65 2732 321938.5
"108" "BadenWuerttemberg" 2021 "f" 70 3802 271882
"109" "BadenWuerttemberg" 2021 "f" 75 5513 225518
"110" "BadenWuerttemberg" 2021 "f" 80 11072 250315.5
"111" "BadenWuerttemberg" 2021 "f" 85 12979 135499
"112" "BadenWuerttemberg" 2021 "f" 90 17611 76316
"113" "BadenWuerttemberg" 2021 "m" 0 180 56382
"114" "BadenWuerttemberg" 2021 "m" 1 138 1031876
"115" "BadenWuerttemberg" 2021 "m" 20 268 716280.5
"116" "BadenWuerttemberg" 2021 "m" 30 206 395279.5
"117" "BadenWuerttemberg" 2021 "m" 35 290 365559.5
"118" "BadenWuerttemberg" 2021 "m" 40 435 341885
"119" "BadenWuerttemberg" 2021 "m" 45 711 338225.5
"120" "BadenWuerttemberg" 2021 "m" 50 1497 426749.5
"121" "BadenWuerttemberg" 2021 "m" 55 2695 450318.5
"122" "BadenWuerttemberg" 2021 "m" 60 3855 377751
"123" "BadenWuerttemberg" 2021 "m" 65 4743 293735.5
"124" "BadenWuerttemberg" 2021 "m" 70 5962 239608
"125" "BadenWuerttemberg" 2021 "m" 75 7347 185871
"126" "BadenWuerttemberg" 2021 "m" 80 12360 184030.5
"127" "BadenWuerttemberg" 2021 "m" 85 10684 85347
"128" "BadenWuerttemberg" 2021 "m" 90 8550 32474
"129" "BadenWuerttemberg" 2022 "f" 0 157 53097.5
"130" "BadenWuerttemberg" 2022 "f" 1 105 993471
"131" "BadenWuerttemberg" 2022 "f" 20 121 642877.5
"132" "BadenWuerttemberg" 2022 "f" 30 116 367018.5
"133" "BadenWuerttemberg" 2022 "f" 35 188 355231
"134" "BadenWuerttemberg" 2022 "f" 40 260 347423
"135" "BadenWuerttemberg" 2022 "f" 45 354 333436
"136" "BadenWuerttemberg" 2022 "f" 50 803 405814.5
"137" "BadenWuerttemberg" 2022 "f" 55 1348 445585
"138" "BadenWuerttemberg" 2022 "f" 60 2135 398810
"139" "BadenWuerttemberg" 2022 "f" 65 2834 330309
"140" "BadenWuerttemberg" 2022 "f" 70 4036 283907.5
"141" "BadenWuerttemberg" 2022 "f" 75 5380 216065
"142" "BadenWuerttemberg" 2022 "f" 80 11618 248612
"143" "BadenWuerttemberg" 2022 "f" 85 14240 144462
"144" "BadenWuerttemberg" 2022 "f" 90 18905 75563
"145" "BadenWuerttemberg" 2022 "m" 0 149 55532.5
"146" "BadenWuerttemberg" 2022 "m" 1 156 1051164.5
"147" "BadenWuerttemberg" 2022 "m" 20 265 712003.5
"148" "BadenWuerttemberg" 2022 "m" 30 199 398722
"149" "BadenWuerttemberg" 2022 "m" 35 309 372404
"150" "BadenWuerttemberg" 2022 "m" 40 454 350363
"151" "BadenWuerttemberg" 2022 "m" 45 675 331414
"152" "BadenWuerttemberg" 2022 "m" 50 1437 408074.5
"153" "BadenWuerttemberg" 2022 "m" 55 2636 452678.5
"154" "BadenWuerttemberg" 2022 "m" 60 3793 390860.5
"155" "BadenWuerttemberg" 2022 "m" 65 4840 302982
"156" "BadenWuerttemberg" 2022 "m" 70 6185 247950.5
"157" "BadenWuerttemberg" 2022 "m" 75 7128 178298
"158" "BadenWuerttemberg" 2022 "m" 80 12761 183136.5
"159" "BadenWuerttemberg" 2022 "m" 85 11890 92036
"160" "BadenWuerttemberg" 2022 "m" 90 9196 33147
"161" "Bayern" 2018 "f" 0 151 62178.5
"162" "Bayern" 2018 "f" 1 130 1109304.5
"163" "Bayern" 2018 "f" 20 144 782091.5
"164" "Bayern" 2018 "f" 30 119 415126
"165" "Bayern" 2018 "f" 35 198 416536
"166" "Bayern" 2018 "f" 40 293 393101
"167" "Bayern" 2018 "f" 45 585 463038
"168" "Bayern" 2018 "f" 50 1060 538816.5
"169" "Bayern" 2018 "f" 55 1595 500864.5
"170" "Bayern" 2018 "f" 60 2247 414352
"171" "Bayern" 2018 "f" 65 3162 368035.5
"172" "Bayern" 2018 "f" 70 4155 296346
"173" "Bayern" 2018 "f" 75 8106 338662.5
"174" "Bayern" 2018 "f" 80 11941 251606.5
"175" "Bayern" 2018 "f" 85 14783 141060.5
"176" "Bayern" 2018 "f" 90 19912 84695
"177" "Bayern" 2018 "m" 0 177 64890
"178" "Bayern" 2018 "m" 1 202 1179097
"179" "Bayern" 2018 "m" 20 395 857270.5
"180" "Bayern" 2018 "m" 30 291 442753
"181" "Bayern" 2018 "m" 35 358 425745
"182" "Bayern" 2018 "m" 40 502 397516
"183" "Bayern" 2018 "m" 45 960 469993
"184" "Bayern" 2018 "m" 50 1963 552509.5
"185" "Bayern" 2018 "m" 55 3046 502643.5
"186" "Bayern" 2018 "m" 60 4130 400943
"187" "Bayern" 2018 "m" 65 5462 336578.5
"188" "Bayern" 2018 "m" 70 6570 264498.5
"189" "Bayern" 2018 "m" 75 10843 277805.5
"190" "Bayern" 2018 "m" 80 12513 178904.5
"191" "Bayern" 2018 "m" 85 10808 79226.5
"192" "Bayern" 2018 "m" 90 8008 30774
"193" "Bayern" 2019 "f" 0 186 62332.5
"194" "Bayern" 2019 "f" 1 102 1114312.5
"195" "Bayern" 2019 "f" 20 141 777299
"196" "Bayern" 2019 "f" 30 145 423124.5
"197" "Bayern" 2019 "f" 35 206 420485
"198" "Bayern" 2019 "f" 40 248 397126.5
"199" "Bayern" 2019 "f" 45 501 439723
"200" "Bayern" 2019 "f" 50 1023 532990
"201" "Bayern" 2019 "f" 55 1670 515163.5
"202" "Bayern" 2019 "f" 60 2252 427365
"203" "Bayern" 2019 "f" 65 3094 371852.5
"204" "Bayern" 2019 "f" 70 4220 301899.5
"205" "Bayern" 2019 "f" 75 7680 322905
"206" "Bayern" 2019 "f" 80 12422 269833.5
"207" "Bayern" 2019 "f" 85 14498 142957.5
"208" "Bayern" 2019 "f" 90 19950 85617.5
"209" "Bayern" 2019 "m" 0 180 65440.5
"210" "Bayern" 2019 "m" 1 209 1179497.5
"211" "Bayern" 2019 "m" 20 370 854672
"212" "Bayern" 2019 "m" 30 276 453429
"213" "Bayern" 2019 "m" 35 343 432327.5
"214" "Bayern" 2019 "m" 40 487 401532
"215" "Bayern" 2019 "m" 45 955 443588
"216" "Bayern" 2019 "m" 50 1761 547352
"217" "Bayern" 2019 "m" 55 3042 517349.5
"218" "Bayern" 2019 "m" 60 4081 416785.5
"219" "Bayern" 2019 "m" 65 5410 338922
"220" "Bayern" 2019 "m" 70 6587 268520
"221" "Bayern" 2019 "m" 75 10412 266667.5
"222" "Bayern" 2019 "m" 80 13052 194637.5
"223" "Bayern" 2019 "m" 85 10587 82026
"224" "Bayern" 2019 "m" 90 8223 32995.5
"225" "Bayern" 2020 "f" 0 149 62593
"226" "Bayern" 2020 "f" 1 105 1118041.5
"227" "Bayern" 2020 "f" 20 142 766060
"228" "Bayern" 2020 "f" 30 121 430801.5
"229" "Bayern" 2020 "f" 35 198 421059
"230" "Bayern" 2020 "f" 40 299 403263
"231" "Bayern" 2020 "f" 45 539 420960
"232" "Bayern" 2020 "f" 50 999 522548.5
"233" "Bayern" 2020 "f" 55 1720 524874.5
"234" "Bayern" 2020 "f" 60 2440 442283.5
"235" "Bayern" 2020 "f" 65 3258 375078
"236" "Bayern" 2020 "f" 70 4401 316803
"237" "Bayern" 2020 "f" 75 7433 297028
"238" "Bayern" 2020 "f" 80 13611 285853
"239" "Bayern" 2020 "f" 85 15591 148642.5
"240" "Bayern" 2020 "f" 90 21011 86428
"241" "Bayern" 2020 "m" 0 198 65734
"242" "Bayern" 2020 "m" 1 192 1180715
"243" "Bayern" 2020 "m" 20 371 841712.5
"244" "Bayern" 2020 "m" 30 275 462150.5
