"PopName" "Year" "Sex" "AgeGroup" "Deaths"
"121" "SchleswigHolstein" 2021 "m" 55 915
"122" "SchleswigHolstein" 2021 "m" 60 1112
"123" "SchleswigHolstein" 2021 "m" 65 1515
"124" "SchleswigHolstein" 2021 "m" 70 1946
"125" "SchleswigHolstein" 2021 "m" 75 2576
"126" "SchleswigHolstein" 2021 "m" 80 3965
"127" "SchleswigHolstein" 2021 "m" 85 3102
"128" "SchleswigHolstein" 2021 "m" 90 2085
"129" "SchleswigHolstein" 2022 "f" 0 34
"130" "SchleswigHolstein" 2022 "f" 1 31
"131" "SchleswigHolstein" 2022 "f" 20 32
"132" "SchleswigHolstein" 2022 "f" 30 29
"133" "SchleswigHolstein" 2022 "f" 35 55
"134" "SchleswigHolstein" 2022 "f" 40 77
"135" "SchleswigHolstein" 2022 "f" 45 142
"136" "SchleswigHolstein" 2022 "f" 50 261
"137" "SchleswigHolstein" 2022 "f" 55 504
"138" "SchleswigHolstein" 2022 "f" 60 793
"139" "SchleswigHolstein" 2022 "f" 65 1011
"140" "SchleswigHolstein" 2022 "f" 70 1470
"141" "SchleswigHolstein" 2022 "f" 75 2099
"142" "SchleswigHolstein" 2022 "f" 80 3976
"143" "SchleswigHolstein" 2022 "f" 85 4370
"144" "SchleswigHolstein" 2022 "f" 90 5492
"145" "SchleswigHolstein" 2022 "m" 0 34
"146" "SchleswigHolstein" 2022 "m" 1 40
"147" "SchleswigHolstein" 2022 "m" 20 77
"148" "SchleswigHolstein" 2022 "m" 30 62
"149" "SchleswigHolstein" 2022 "m" 35 88
"150" "SchleswigHolstein" 2022 "m" 40 129
"151" "SchleswigHolstein" 2022 "m" 45 197
"152" "SchleswigHolstein" 2022 "m" 50 494
"153" "SchleswigHolstein" 2022 "m" 55 943
"154" "SchleswigHolstein" 2022 "m" 60 1347
"155" "SchleswigHolstein" 2022 "m" 65 1628
"156" "SchleswigHolstein" 2022 "m" 70 2247
"157" "SchleswigHolstein" 2022 "m" 75 2546
"158" "SchleswigHolstein" 2022 "m" 80 4387
"159" "SchleswigHolstein" 2022 "m" 85 3644
"160" "SchleswigHolstein" 2022 "m" 90 2458
"161" "Hamburg" 2018 "f" 0 20
"162" "Hamburg" 2018 "f" 1 18
"163" "Hamburg" 2018 "f" 20 23
"164" "Hamburg" 2018 "f" 30 22
"165" "Hamburg" 2018 "f" 35 30
"166" "Hamburg" 2018 "f" 40 45
"167" "Hamburg" 2018 "f" 45 96
"168" "Hamburg" 2018 "f" 50 178
"169" "Hamburg" 2018 "f" 55 238
"170" "Hamburg" 2018 "f" 60 333
"171" "Hamburg" 2018 "f" 65 470
"172" "Hamburg" 2018 "f" 70 664
"173" "Hamburg" 2018 "f" 75 1135
"174" "Hamburg" 2018 "f" 80 1662
"175" "Hamburg" 2018 "f" 85 1703
"176" "Hamburg" 2018 "f" 90 2672
"177" "Hamburg" 2018 "m" 0 36
"178" "Hamburg" 2018 "m" 1 22
"179" "Hamburg" 2018 "m" 20 50
"180" "Hamburg" 2018 "m" 30 32
