"PopName" "Year" "Sex" "AgeGroup" "Population"
"118" "SchleswigHolstein" 2017 "m" 26 16923
"119" "SchleswigHolstein" 2017 "m" 27 17745
"120" "SchleswigHolstein" 2017 "m" 28 17151
"121" "SchleswigHolstein" 2017 "m" 29 17697
"122" "SchleswigHolstein" 2017 "m" 30 17155
"123" "SchleswigHolstein" 2017 "m" 31 16422
"124" "SchleswigHolstein" 2017 "m" 32 15792
"125" "SchleswigHolstein" 2017 "m" 33 15704
"126" "SchleswigHolstein" 2017 "m" 34 15910
"127" "SchleswigHolstein" 2017 "m" 35 16317
"128" "SchleswigHolstein" 2017 "m" 36 16341
"129" "SchleswigHolstein" 2017 "m" 37 16693
"130" "SchleswigHolstein" 2017 "m" 38 15951
"131" "SchleswigHolstein" 2017 "m" 39 16195
"132" "SchleswigHolstein" 2017 "m" 40 16016
"133" "SchleswigHolstein" 2017 "m" 41 16032
"134" "SchleswigHolstein" 2017 "m" 42 15864
"135" "SchleswigHolstein" 2017 "m" 43 15958
"136" "SchleswigHolstein" 2017 "m" 44 16489
"137" "SchleswigHolstein" 2017 "m" 45 17883
"138" "SchleswigHolstein" 2017 "m" 46 20138
"139" "SchleswigHolstein" 2017 "m" 47 21221
"140" "SchleswigHolstein" 2017 "m" 48 23578
"141" "SchleswigHolstein" 2017 "m" 49 25010
"142" "SchleswigHolstein" 2017 "m" 50 25999
"143" "SchleswigHolstein" 2017 "m" 51 26024
"144" "SchleswigHolstein" 2017 "m" 52 25481
"145" "SchleswigHolstein" 2017 "m" 53 26059
"146" "SchleswigHolstein" 2017 "m" 54 24976
"147" "SchleswigHolstein" 2017 "m" 55 23852
"148" "SchleswigHolstein" 2017 "m" 56 23135
"149" "SchleswigHolstein" 2017 "m" 57 21991
"150" "SchleswigHolstein" 2017 "m" 58 21260
"151" "SchleswigHolstein" 2017 "m" 59 20055
"152" "SchleswigHolstein" 2017 "m" 60 19095
"153" "SchleswigHolstein" 2017 "m" 61 18084
"154" "SchleswigHolstein" 2017 "m" 62 17483
"155" "SchleswigHolstein" 2017 "m" 63 17218
"156" "SchleswigHolstein" 2017 "m" 64 16625
"157" "SchleswigHolstein" 2017 "m" 65 16349
"158" "SchleswigHolstein" 2017 "m" 66 16478
"159" "SchleswigHolstein" 2017 "m" 67 16396
"160" "SchleswigHolstein" 2017 "m" 68 16352
"161" "SchleswigHolstein" 2017 "m" 69 15734
"162" "SchleswigHolstein" 2017 "m" 70 14534
"163" "SchleswigHolstein" 2017 "m" 71 13424
"164" "SchleswigHolstein" 2017 "m" 72 10711
"165" "SchleswigHolstein" 2017 "m" 73 14243
"166" "SchleswigHolstein" 2017 "m" 74 14623
"167" "SchleswigHolstein" 2017 "m" 75 13732
"168" "SchleswigHolstein" 2017 "m" 76 16352
"169" "SchleswigHolstein" 2017 "m" 77 16051
"170" "SchleswigHolstein" 2017 "m" 78 15330
"171" "SchleswigHolstein" 2017 "m" 79 13732
"172" "SchleswigHolstein" 2017 "m" 80 12117
"173" "SchleswigHolstein" 2017 "m" 81 10681
"174" "SchleswigHolstein" 2017 "m" 82 9285
"175" "SchleswigHolstein" 2017 "m" 83 7853
"176" "SchleswigHolstein" 2017 "m" 84 5200
"177" "SchleswigHolstein" 2017 "m" 85 4410
"178" "SchleswigHolstein" 2017 "m" 86 3974
"179" "SchleswigHolstein" 2017 "m" 87 3637
"180" "SchleswigHolstein" 2017 "m" 88 3045
"181" "SchleswigHolstein" 2017 "m" 89 2571
"182" "SchleswigHolstein" 2017 "m" 90 6886
"183" "SchleswigHolstein" 2018 "f" 0 12332
"184" "SchleswigHolstein" 2018 "f" 1 12532
"185" "SchleswigHolstein" 2018 "f" 2 12831
"186" "SchleswigHolstein" 2018 "f" 3 12421
"187" "SchleswigHolstein" 2018 "f" 4 12529
"188" "SchleswigHolstein" 2018 "f" 5 12112
"189" "SchleswigHolstein" 2018 "f" 6 12258
"190" "SchleswigHolstein" 2018 "f" 7 12067
"191" "SchleswigHolstein" 2018 "f" 8 12543
"192" "SchleswigHolstein" 2018 "f" 9 12200
"193" "SchleswigHolstein" 2018 "f" 10 12907
"194" "SchleswigHolstein" 2018 "f" 11 12800
"195" "SchleswigHolstein" 2018 "f" 12 12614
"196" "SchleswigHolstein" 2018 "f" 13 12703
"197" "SchleswigHolstein" 2018 "f" 14 13238
"198" "SchleswigHolstein" 2018 "f" 15 13422
"199" "SchleswigHolstein" 2018 "f" 16 13717
"200" "SchleswigHolstein" 2018 "f" 17 14171
"201" "SchleswigHolstein" 2018 "f" 18 15153
"202" "SchleswigHolstein" 2018 "f" 19 15198
"203" "SchleswigHolstein" 2018 "f" 20 15155
"204" "SchleswigHolstein" 2018 "f" 21 15196
"205" "SchleswigHolstein" 2018 "f" 22 15228
"206" "SchleswigHolstein" 2018 "f" 23 14573
"207" "SchleswigHolstein" 2018 "f" 24 14805
"208" "SchleswigHolstein" 2018 "f" 25 15074
"209" "SchleswigHolstein" 2018 "f" 26 15235
"210" "SchleswigHolstein" 2018 "f" 27 15572
"211" "SchleswigHolstein" 2018 "f" 28 16381
"212" "SchleswigHolstein" 2018 "f" 29 16017
"213" "SchleswigHolstein" 2018 "f" 30 16354
"214" "SchleswigHolstein" 2018 "f" 31 16148
"215" "SchleswigHolstein" 2018 "f" 32 16059
"216" "SchleswigHolstein" 2018 "f" 33 15822
"217" "SchleswigHolstein" 2018 "f" 34 15845
"218" "SchleswigHolstein" 2018 "f" 35 16251
"219" "SchleswigHolstein" 2018 "f" 36 17056
"220" "SchleswigHolstein" 2018 "f" 37 17102
"221" "SchleswigHolstein" 2018 "f" 38 17673
"222" "SchleswigHolstein" 2018 "f" 39 16754
"223" "SchleswigHolstein" 2018 "f" 40 16627
"224" "SchleswigHolstein" 2018 "f" 41 16698
"225" "SchleswigHolstein" 2018 "f" 42 16897
